date,forecast_demand,Spare_parts
2019-01-07,3,3m oil
2019-01-07,3,Air filter
2019-01-07,2,Brake shoe
2019-01-07,6,Chain lubrication
2019-01-07,3,Consumables
2019-01-07,4,Disc oil
2019-01-07,1,Disc pad
2019-01-07,7,Engine oil
2019-01-07,4,General service
2019-01-07,2,Oil filter
2019-01-07,4,Polish
2019-01-07,2,Wheel rubber
2019-01-08,4,3m oil
2019-01-08,4,Air filter
2019-01-08,2,Brake shoe
2019-01-08,7,Chain lubrication
2019-01-08,4,Consumables
2019-01-08,4,Disc oil
2019-01-08,1,Disc pad
2019-01-08,7,Engine oil
2019-01-08,4,General service
2019-01-08,2,Oil filter
2019-01-08,4,Polish
2019-01-08,2,Wheel rubber
2019-01-09,4,3m oil
2019-01-09,3,Air filter
2019-01-09,2,Brake shoe
2019-01-09,5,Chain lubrication
2019-01-09,3,Consumables
2019-01-09,4,Disc oil
2019-01-09,1,Disc pad
2019-01-09,6,Engine oil
2019-01-09,3,General service
2019-01-09,2,Oil filter
2019-01-09,4,Polish
2019-01-09,2,Wheel rubber
2019-01-10,4,3m oil
2019-01-10,4,Air filter
2019-01-10,2,Brake shoe
2019-01-10,5,Chain lubrication
2019-01-10,3,Consumables
2019-01-10,4,Disc oil
2019-01-10,1,Disc pad
2019-01-10,6,Engine oil
2019-01-10,3,General service
2019-01-10,2,Oil filter
2019-01-10,4,Polish
2019-01-10,2,Wheel rubber
2019-01-11,3,3m oil
2019-01-11,4,Air filter
2019-01-11,1,Brake shoe
2019-01-11,4,Chain lubrication
2019-01-11,3,Consumables
2019-01-11,4,Disc oil
2019-01-11,1,Disc pad
2019-01-11,5,Engine oil
2019-01-11,3,General service
2019-01-11,2,Oil filter
2019-01-11,4,Polish
2019-01-11,2,Wheel rubber
2019-01-12,4,3m oil
2019-01-12,4,Air filter
2019-01-12,2,Brake shoe
2019-01-12,6,Chain lubrication
2019-01-12,4,Consumables
2019-01-12,4,Disc oil
2019-01-12,2,Disc pad
2019-01-12,7,Engine oil
2019-01-12,4,General service
2019-01-12,3,Oil filter
2019-01-12,5,Polish
2019-01-12,2,Wheel rubber
2019-01-13,3,3m oil
2019-01-13,3,Air filter
2019-01-13,1,Brake shoe
2019-01-13,4,Chain lubrication
2019-01-13,3,Consumables
2019-01-13,3,Disc oil
2019-01-13,2,Disc pad
2019-01-13,4,Engine oil
2019-01-13,2,General service
2019-01-13,2,Oil filter
2019-01-13,4,Polish
2019-01-13,1,Wheel rubber
2019-01-14,3,3m oil
2019-01-14,3,Air filter
2019-01-14,1,Brake shoe
2019-01-14,5,Chain lubrication
2019-01-14,3,Consumables
2019-01-14,3,Disc oil
2019-01-14,2,Disc pad
2019-01-14,5,Engine oil
2019-01-14,3,General service
2019-01-14,2,Oil filter
2019-01-14,4,Polish
2019-01-14,2,Wheel rubber
2019-01-15,3,3m oil
2019-01-15,4,Air filter
2019-01-15,2,Brake shoe
2019-01-15,6,Chain lubrication
2019-01-15,4,Consumables
2019-01-15,3,Disc oil
2019-01-15,2,Disc pad
2019-01-15,5,Engine oil
2019-01-15,3,General service
2019-01-15,2,Oil filter
2019-01-15,4,Polish
2019-01-15,2,Wheel rubber
2019-01-16,3,3m oil
2019-01-16,3,Air filter
2019-01-16,2,Brake shoe
2019-01-16,5,Chain lubrication
2019-01-16,3,Consumables
2019-01-16,3,Disc oil
2019-01-16,2,Disc pad
2019-01-16,4,Engine oil
2019-01-16,3,General service
2019-01-16,2,Oil filter
2019-01-16,4,Polish
2019-01-16,2,Wheel rubber
2019-01-17,3,3m oil
2019-01-17,3,Air filter
2019-01-17,2,Brake shoe
2019-01-17,5,Chain lubrication
2019-01-17,3,Consumables
2019-01-17,3,Disc oil
2019-01-17,2,Disc pad
